 country_name,iso,occurrence2000to2016,Total deaths,Total affected,Population,Deaths/Population,Affected/Population,Total damage -000USD,GDP -000000USD,Damage/GDP,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire
Jamaica,JAM,19,74,739591,2725941,2.71466E-05,0.27131585,1544757,"14,262",0.108312789,0,2,0,1,0,2,0,0,0,0,14,0,0
Japan,JPN,123,21948,2896520,126958472,0.000172875,0.022814704,320093800,"4,383,076",0.073029489,0,0,22,0,10,16,0,0,3,0,68,3,1
Jordan,JOR,4,14,150237,7594547,1.84343E-06,0.01978222,,"37,517",0,0,1,0,0,1,0,0,0,0,0,2,0,0
Kazakhstan,KAZ,15,108,155899,17544126,6.15591E-06,0.008886108,246038,"184,388",0.001334349,0,0,1,1,2,10,0,0,1,0,0,0,0
Kenya,KEN,76,2084,22798971,46050302,4.52549E-05,0.495088414,236538,"63,398",0.003731001,0,7,1,22,0,42,0,0,4,0,0,0,0
Kiribati,KIR,3,,1805,112423,0,0.016055433,,160,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Kuwait,KWT,1,,1,3892115,0,2.5693E-07,,"114,041",0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,20,195,2065849,5957000,3.27346E-05,0.34679352,16360,"6,572",0.002489349,0,1,5,1,2,3,0,0,6,0,2,0,0
Lao PDR,LAO,18,252,2541011,6802023,3.70478E-05,0.373566952,232050,"12,369",0.018760611,0,0,0,4,0,13,0,0,0,0,1,0,0
Latvia,LVA,7,86,102,1978440,4.34686E-05,5.15558E-05,325000,"27,003",0.0120357,0,0,0,1,4,0,0,0,0,0,2,0,0
Lebanon,LBN,6,6,1019207,5850743,1.02551E-06,0.174201294,,"47,085",0,0,0,0,0,0,1,0,0,0,0,4,0,1
Lesotho,LSO,11,55,2207450,2135022,2.57609E-05,1.033923772,,"2,278",0,0,4,0,1,0,2,0,0,0,0,4,0,0
Liberia,LBR,14,4856,583888,4503438,0.001078287,0.129653833,,"2,053",0,0,0,0,7,0,5,0,1,0,0,1,0,0
Libya,LBY,1,16,2000,6278438,2.5484E-06,0.000318551,,"41,319",0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lithuania,LTU,8,59,,2910199,2.02735E-05,0,255573,"41,171",0.006207598,0,1,0,0,4,2,0,0,0,0,1,0,0
Luxembourg,LUX,2,170,,569676,0.000298415,0,31000,"57,794",0.000536388,0,0,0,0,1,0,0,0,0,0,1,0,0
Macao,MAC,1,,1,587606,0,1.70182E-06,,"46,178",0,0,0,0,1,0,0,0,0,0,0,0,0,0
Macedonia,MKD,20,65,1267828,2078453,3.12733E-05,0.60998637,204163,"10,086",0.020242217,0,0,1,1,5,10,0,0,0,0,1,0,2
Madagascar,MDG,48,2270,9501597,24235390,9.36647E-05,0.392054636,885181,"9,739",0.090890338,0,6,0,4,0,5,0,1,0,0,32,0,0
Malawi,MWI,44,2546,19030158,17215232,0.000147892,1.105425591,397700,"6,404",0.062101811,0,5,2,10,0,24,0,0,0,0,3,0,0
Malaysia,MYS,44,331,2996130,30331007,1.09129E-05,0.098781092,1785000,"296,283",0.006024645,0,1,2,4,0,30,0,0,2,0,4,0,1
Maldives,MDV,3,106,30152,409163,0.000259065,0.073691903,470100,"3,435",0.136855895,0,0,1,1,0,1,0,0,0,0,0,0,0
Mali,MLI,32,375,5383658,17599694,2.13072E-05,0.305894977,,"12,747",0,0,5,0,8,0,18,0,1,0,0,0,0,0
Marshall Islands,MHL,5,6,28562,52993,0.000113223,0.538976846,,179,0,0,2,0,1,0,2,0,0,0,0,0,0,0
Mauritania,MRT,16,108,2712604,4067564,2.65515E-05,0.666886618,,"5,442",0,0,3,0,1,0,11,0,1,0,0,0,0,0
Mauritius,MUS,4,16,3685,1262605,1.26722E-05,0.002918569,50000,"11,682",0.004280089,0,0,0,1,0,1,0,0,0,0,2,0,0
Mexico,MEX,113,1444,12592143,127017224,1.13685E-05,0.099137287,31210800,"1,143,793",0.027287105,0,2,7,1,6,34,0,0,7,0,52,2,2
Moldova,MDA,10,30,2846568,3554150,8.44084E-06,0.800913861,446184,"6,568",0.067933009,0,3,0,0,2,4,0,0,0,0,1,0,0
Mongolia,MNG,13,140,4114923,2959134,4.73111E-05,1.390583529,142364,"11,741",0.012125373,0,1,0,2,2,2,0,0,0,0,6,0,0
Montenegro,MNE,5,1,12386,622388,1.60671E-06,0.019900769,,"3,987",0,0,0,0,0,1,4,0,0,0,0,0,0,0
Montserrat,MSR,1,,200,4900,0,0.040816327,,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Morocco,MAR,23,952,1022861,34377511,2.76925E-05,0.029753783,932059,"100,593",0.009265645,0,0,1,0,3,15,0,1,0,0,3,0,0
Mozambique,MOZ,63,2280,13145506,27977863,8.1493E-05,0.469853827,680200,"14,807",0.045937732,0,8,1,17,0,23,0,0,0,0,13,0,1
Myanmar,MMR,37,139571,13270911,53897154,0.00258958,0.246226563,4685758,"62,601",0.074851169,0,0,4,2,0,17,0,0,7,0,7,0,0
Namibia,NAM,23,455,2368624,2458830,0.000185047,0.963313446,84490,"11,492",0.007352071,0,4,0,6,0,13,0,0,0,0,0,0,0
Nepal,NPL,57,13203,9094938,28513700,0.000463041,0.318967303,5258852,"21,195",0.248117575,0,2,3,8,6,23,0,0,13,0,1,0,1
Netherlands,NLD,13,1979,1,16936520,0.000116848,5.9044E-08,988000,"750,284",0.001316835,0,0,0,0,5,0,0,0,0,0,8,0,0
New Caledonia,NCL,2,2,1537,273000,7.32601E-06,0.005630037,40000,"10,234",0.00390854,0,0,0,1,0,0,0,0,0,0,1,0,0
New Zealand,NZL,23,194,624645,4595700,4.22134E-05,0.135919446,30107600,"173,754",0.173277162,0,1,5,1,1,9,0,0,0,0,6,0,0
Nicaragua,NIC,37,446,1369735,6082032,7.33308E-05,0.225210094,6050,"12,693",0.000476641,0,3,2,3,0,14,0,0,1,0,13,0,1
Niger,NER,52,2637,21848008,19899120,0.000132518,1.097938401,248839,"7,143",0.034836763,1,5,0,26,0,18,0,1,0,0,1,0,0
Nigeria,NGA,79,8699,9557949,182201962,4.77437E-05,0.052457992,572922,"481,066",0.001190943,0,0,0,35,1,36,0,1,2,0,4,0,0
Niue,NIU,1,1,702,1612,0.000620347,0.435483871,40000,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Northern Mariana Islands,MNP,4,3,860,55070,5.44761E-05,0.015616488,,922,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Norway,NOR,5,4,2700,5195921,7.69835E-07,0.000519638,130000,"386,578",0.000336284,0,0,0,0,0,2,0,0,0,0,3,0,0
Oman,OMN,7,148,26283,4490541,3.29582E-05,0.00585297,5172000,"69,831",0.074064527,0,0,0,0,0,1,0,0,0,0,6,0,0
Pakistan,PAK,109,83852,54766396,188924874,0.000443838,0.289884518,25753648,"271,050",0.095014381,0,0,14,8,9,57,0,0,12,1,8,0,0
Palau,PLW,1,,,21291,0,0,,287,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Palestine,PSE,7,10,95621,4170000,2.39808E-06,0.022930695,,"1,126",0,0,0,0,0,0,4,0,0,0,0,3,0,0
Panama,PAN,32,105,158696,3929141,2.67234E-05,0.04038949,218800,"52,132",0.004197038,0,2,2,1,0,25,0,0,0,0,1,0,1
Papua New Guinea,PNG,40,698,3161124,7619321,9.16092E-05,0.414882638,87000,"16,929",0.00513911,0,1,5,6,0,10,0,0,7,1,4,6,0
Paraguay,PRY,31,128,2675451,6639123,1.92797E-05,0.402982593,61820,"27,094",0.002281686,0,5,0,7,3,8,0,0,0,0,7,0,1
Peru,PER,69,3640,8899036,31376670,0.00011601,0.283619517,994050,"189,111",0.005256437,0,3,12,3,10,27,0,1,9,0,2,2,0
Philippines,PHL,269,23253,123018453,100699395,0.000230915,1.221640438,19806842,"292,451",0.067727045,0,3,7,8,0,89,0,0,13,1,138,10,0
Poland,POL,34,1903,123275,37999494,5.00796E-05,0.003244122,4036050,"477,066",0.00846015,0,0,0,0,15,8,0,0,0,0,11,0,0
Portugal,PRT,23,2839,155491,10348648,0.000274335,0.015025248,6338136,"198,923",0.031862258,0,1,0,0,4,7,0,0,0,0,6,0,5
Puerto Rico,PRI,11,9,17756,3474182,2.59054E-06,0.005110843,746000,"103,135",0.007233238,0,0,0,0,0,4,0,0,0,0,7,0,0
Republic of Congo,COG,20,617,110777,4620330,0.00013354,0.023975993,,"8,553",0,0,0,0,14,0,6,0,0,0,0,0,0,0
Republic of Korea,KOR,46,877,668148,50617045,1.73262E-05,0.013200059,11752395,"1,377,873",0.008529375,0,1,1,3,1,14,0,0,1,0,22,0,3
Romania,ROU,59,701,243193,19832389,3.53462E-05,0.012262416,3171218,"177,954",0.017820437,0,1,0,1,14,37,0,0,0,0,6,0,0
Russian Federation,RUS,106,58215,2474618,144096812,0.000403999,0.017173302,9719160,"1,331,208",0.007301008,0,3,6,6,13,43,1,1,0,0,13,0,16
Rwanda,RWA,22,506,1077924,11609666,4.35844E-05,0.092847115,9,"8,096",1.11166E-06,0,1,2,4,0,11,0,0,4,0,0,0,0
Saint Helena,SHN,1,,300,5633,0,0.053257589,,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Saint Lucia,LCA,8,21,202984,184999,0.000113514,1.097216742,41000,"2,083",0.019683149,0,1,1,0,0,2,0,0,0,0,4,0,0
Saint Vincent and the Grenadines,VCT,8,16,50331,109462,0.000146169,0.459803402,149000,"1,241",0.120064464,0,1,0,0,0,3,0,0,0,0,4,0,0
Samoa,WSM,6,170,18287,193228,0.00087979,0.094639493,258540,761,0.339737188,0,1,1,0,0,1,0,0,0,0,3,0,0
São Tomé and Principe,STP,1,25,1349,190344,0.000131341,0.007087168,,318,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,20,565,26261,31540372,1.79135E-05,0.000832615,1200000,"646,002",0.001857579,0,0,0,3,0,16,0,0,0,0,1,0,0
Senegal,SEN,24,430,2669949,15129273,2.84217E-05,0.176475697,50979,"13,610",0.003745702,0,3,0,6,0,13,0,1,0,0,1,0,0
Serbia,SRB,22,90,210265,7098247,1.26792E-05,0.029622102,2280522,"37,160",0.061370344,0,0,1,0,8,13,0,0,0,0,0,0,0
Seychelles,SYC,6,3,24779,92900,3.22928E-05,0.266727664,39300,"1,438",0.027329624,0,0,1,2,0,1,0,0,0,0,2,0,0
Sierra Leone,SLE,16,4722,87374,6453184,0.000731732,0.013539673,,"4,215",0,0,0,0,7,0,7,0,0,1,0,0,0,1
Singapore,SGP,2,35,2227,5535002,6.32339E-06,0.000402349,,"292,739",0,0,0,0,2,0,0,0,0,0,0,0,0,0
Slovakia,SVK,16,145,11593,5424050,2.67328E-05,0.002137333,567300,"87,264",0.006500963,0,0,0,0,5,9,0,0,0,0,1,0,1
Slovenia,SVN,8,299,66205,2063768,0.000144881,0.032079672,752000,"42,775",0.017580362,0,0,1,0,2,3,0,0,0,0,2,0,0
Solomon Islands,SLB,19,144,150435,583591,0.000246748,0.257774709,24000,"1,129",0.02125775,0,1,4,2,0,5,0,0,0,0,7,0,0
Somalia,SOM,58,22798,19149758,10787104,0.00211345,1.775245515,100020,"5,925",0.016881013,0,8,1,16,0,30,0,0,0,0,3,0,0
South Africa,ZAF,53,821,18408149,54956920,1.4939E-05,0.33495598,3372305,"314,572",0.010720296,0,2,2,7,2,18,0,0,0,0,16,0,6
South Sudan,SSD,17,412,9053637,12339812,3.33879E-05,0.733693269,,"9,015",0,0,2,0,5,0,10,0,0,0,0,0,0,0
